sample_id,batch_id,cultivar_code,outer_fold
313_A110_B01-0003,313_A110_B01,L313,4
313_A110_B01-0004,313_A110_B01,L313,5
313_A110_B01-0006,313_A110_B01,L313,5
313_A110_B01-0007,313_A110_B01,L313,2
313_A110_B01-0008,313_A110_B01,L313,2
313_A110_B01-0009,313_A110_B01,L313,2
313_A110_B01-0013,313_A110_B01,L313,5
313_A110_B01-0015,313_A110_B01,L313,1
313_A110_B01-0016,313_A110_B01,L313,5
313_A110_B01-0018,313_A110_B01,L313,4
313_A110_B01-0019,313_A110_B01,L313,3
313_A110_B01-0021,313_A110_B01,L313,1
313_A110_B01-0022,313_A110_B01,L313,4
313_A110_B01-0023,313_A110_B01,L313,2
313_A110_B01-0024,313_A110_B01,L313,1
313_A110_B01-0025,313_A110_B01,L313,2
313_A110_B01-0026,313_A110_B01,L313,3
313_A110_B01-0027,313_A110_B01,L313,4
313_A110_B01-0028,313_A110_B01,L313,4
313_A110_B01-0029,313_A110_B01,L313,5
313_A110_B01-0030,313_A110_B01,L313,4
313_A110_B01-0032,313_A110_B01,L313,2
313_A110_B01-0033,313_A110_B01,L313,1
313_A110_B01-0034,313_A110_B01,L313,1
313_A110_B01-0035,313_A110_B01,L313,1
313_A110_B01-0036,313_A110_B01,L313,2
313_A110_B01-0038,313_A110_B01,L313,3
313_A110_B01-0039,313_A110_B01,L313,1
313_A110_B01-0040,313_A110_B01,L313,1
313_A110_B01-0041,313_A110_B01,L313,1
313_A110_B01-0042,313_A110_B01,L313,4
313_A110_B01-0043,313_A110_B01,L313,1
313_A110_B01-0044,313_A110_B01,L313,5
313_A110_B01-0045,313_A110_B01,L313,5
313_A110_B01-0046,313_A110_B01,L313,3
313_A110_B01-0047,313_A110_B01,L313,2
313_A110_B01-0048,313_A110_B01,L313,1
313_A110_B01-0049,313_A110_B01,L313,5
313_A110_B01-0052,313_A110_B01,L313,2
313_A110_B01-0053,313_A110_B01,L313,1
313_A110_B01-0054,313_A110_B01,L313,3
313_A110_B01-0055,313_A110_B01,L313,5
313_A110_B01-0056,313_A110_B01,L313,5
313_A110_B01-0057,313_A110_B01,L313,2
313_A110_B01-0058,313_A110_B01,L313,4
313_A110_B01-0059,313_A110_B01,L313,3
313_A110_B01-0060,313_A110_B01,L313,1
313_A110_B01-0062,313_A110_B01,L313,3
313_A110_B01-0063,313_A110_B01,L313,2
313_A110_B01-0064,313_A110_B01,L313,2
313_A110_B01-0065,313_A110_B01,L313,3
313_A110_B01-0066,313_A110_B01,L313,4
313_A110_B01-0067,313_A110_B01,L313,3
313_A110_B01-0069,313_A110_B01,L313,3
313_A110_B01-0070,313_A110_B01,L313,2
313_A110_B01-0071,313_A110_B01,L313,3
313_A110_B01-0072,313_A110_B01,L313,4
313_A110_B01-0073,313_A110_B01,L313,5
313_A110_B01-0074,313_A110_B01,L313,5
313_A110_B01-0076,313_A110_B01,L313,5
313_A110_B01-0077,313_A110_B01,L313,3
313_A110_B01-0078,313_A110_B01,L313,4
313_A110_B01-0079,313_A110_B01,L313,4
313_A110_B01-0080,313_A110_B01,L313,2
313_A110_B01-0081,313_A110_B01,L313,2
313_A110_B01-0084,313_A110_B01,L313,4
313_A110_B01-0085,313_A110_B01,L313,5
313_A110_B01-0086,313_A110_B01,L313,3
313_A110_B01-0087,313_A110_B01,L313,2
313_A110_B01-0088,313_A110_B01,L313,5
313_A110_B01-0089,313_A110_B01,L313,1
313_A110_B01-0090,313_A110_B01,L313,5
313_A110_B01-0091,313_A110_B01,L313,1
313_A110_B01-0092,313_A110_B01,L313,3
313_A110_B01-0093,313_A110_B01,L313,5
313_A110_B01-0094,313_A110_B01,L313,4
313_A110_B01-0096,313_A110_B01,L313,2
313_A110_B01-0098,313_A110_B01,L313,3
313_A110_B01-0099,313_A110_B01,L313,4
313_A110_B01-0100,313_A110_B01,L313,4
313_A110_B01-0101,313_A110_B01,L313,1
313_A110_B01-0103,313_A110_B01,L313,4
313_A110_B01-0104,313_A110_B01,L313,5
313_A110_B01-0105,313_A110_B01,L313,3
313_A110_B01-0106,313_A110_B01,L313,2
313_A110_B01-0107,313_A110_B01,L313,3
313_A110_B01-0108,313_A110_B01,L313,1
313_A110_B01-0109,313_A110_B01,L313,4
313_A110_B01-0110,313_A110_B01,L313,1
313_A110_B01-0111,313_A110_B01,L313,1
313_A110_B01-0112,313_A110_B01,L313,2
313_A110_B01-0114,313_A110_B01,L313,5
313_A110_B01-0115,313_A110_B01,L313,1
313_A110_B01-0116,313_A110_B01,L313,3
313_A110_B01-0117,313_A110_B01,L313,5
313_A110_B01-0118,313_A110_B01,L313,3
313_A110_B01-0119,313_A110_B01,L313,5
313_A110_B01-0121,313_A110_B01,L313,4
313_A110_B01-0122,313_A110_B01,L313,1
313_A110_B01-0123,313_A110_B01,L313,4
313_A110_B01-0124,313_A110_B01,L313,1
313_A110_B01-0125,313_A110_B01,L313,3
313_A110_B01-0126,313_A110_B01,L313,3
313_A110_B01-0127,313_A110_B01,L313,1
313_A110_B01-0128,313_A110_B01,L313,2
313_A110_B01-0129,313_A110_B01,L313,4
313_A110_B01-0131,313_A110_B01,L313,5
313_A110_B01-0132,313_A110_B01,L313,5
313_A110_B01-0133,313_A110_B01,L313,5
313_A110_B01-0134,313_A110_B01,L313,4
